commentaires;notes
Exceptional;10
Overall great value for money I would stay again.;9.0
We would definitely return;8.0
Excellent hotel with a staff dedicated to serving their guests.;9.0
Very good;8.0
Wonderful rooms, good location, and very clean.;9.0
Amazing;9.0
Exceptional staff;9.0
great spot away from the madness of Trafalgar Square on New Year’s Eve. good breakfast and very nice staff in restaurant;9.0
exceptionally nice hotel with wonderful staff;9.0
Very good;8.0
Very good;8.0
overall good as always;9.0
nice hotel for a one night family stay.;9.0
great location, stylish hotel, helpful and friendly staff;10
Fabulous!;10
Exceptional;10
Exceptional;10
Excellent hotel in my opinion.;9.0
All right!;9.0
great place for a couple;9.0
Awesome experience at Apex Temple Court!;10
Superb;9.0
will return;9.0
will stay again;10
Brilliant, it was a pot of luck in a rush booking, but definitely a lucky one.;9.0
Exceptional;10
Hidden Gem;9.0
Exceptional;10
Beautiful hotel with friendly and attentive staff.;10
Very good;8.0
Lovely start to the holidays with a warm welcome at Apex;10
Superb;9.0
Very comfortable central hotel;8.0
good location;10
very pleasant;8.0
Exceptional;10
excellent hotel and one I will certainly be going back to. recommend the room upgrade.;9.0
Exceptional;10
Wonderful stay;10
I couldn’t have asked for better.;10
I wish I could have stayed longer;8.0
The most perfect anniversary nights stay. We will most definitely be back;9.0
Excellent stay;10
beautiful hotel. staff were great will definitely stay again;10
Great location.  Very clean and great staff;9.0
Superb;9.0
Superb;9.0
London Birthday Visit;8.0
A relaxing stay in a great room. Bar snacks were impressive and the breakfast was delicious.;9.0
I'm good and comfortable hotel slightly expensive at £500 night but let down by poor food;8.0
A stylish hotel in the heart of London with the spice of luxury;10
Convenient location lovely room;9.0
Lovely hotel in central London;10
Superb;9.0
good experience;8.0
pleasant stay and helpful staff;8.0
Very good;8.0
No-nonsense but highly attentive approach of staff means good if you are in London on business.;9.0
Large rooms very comfy beds and great location;8.0
very cute place, nice location, my room was very cute, the bathrooms are very spacious. I really liked it, will recommen;10
great spot, great facilities, lovely room!;9.0
really enjoyed our stay but would have liked a better outlook from the room.;8.0
Great hotel, in great location, my second visit and will book on my next London trip;8.0
Superb;9.0
Exceptional;10
loved it;10
Fabulous stay at the Apex Temple Court Hotel;9.0
Excellent stay, definitely come again;8.0
Very peaceful and relaxing stay;9.0
Friendly staff, nice location, comfy bed;8.0
Perfect stay.;9.0
Great hotel for weekend getaway;10
Exceptional;10
Superb;9.0
A pleasant international hotel which is comfortable and has a great location;8.0
Awesome;10
brilliant;10
Very good;8.0
no problem;9.0
Enjoyed the hotel loved London;8.0
comfortable bed and good value for money;10
Superbly designed and run hotel in a great location;10
overall a great stay;10
Exceptional;10
all round experience very good.;10
a wonderfully attentive staff to every detail despite a very full weekend. nothing was too much trouble;10
Perfect stay;10
Superb;9.0
Excellent in every way !;9.0
Very good;8.0
Great location with friendly, helpful staff.;9.0
Exceptional;10
Wonderful;10
Incredible value for money getaway hotel!;10
Nice location for city break;8.0
would definately stay again;8.0
Exceptional;10
perfect stay for London;10
Comfortable relaxing stay.;10
Great hotel in a central location.;10
Perfect location for all attractions. Quietest hotel I have stayed in - fantastic nights sleep.;10
fantastic hotel in the heart of the London;10
Superb;9.0
pleasant comfortable stay;9.0
Exceptional;10
It was good;8.0
Exceptional;10
This hotel has a great location and pleasant, helpful staff.;10
Absolutely Fabulous;10
Superb;9.0
very nice accommodations.  perfect location. very helpful and friendly staff.;10
Superb!;10
clean stay, fair price;8.0
great spot - hope to come back in cooler months.;8.0
Delightful and I would definitely visit again.;9.0
Lovely staff, clean and comfortable;9.0
Superb;9.0
very satisfying;9.0
it was pleasant and enjoyable.;9.0
Superb;9.2
GREAT STAY!!!;9.0
Exceptional;10
Amazing hotel - loved every minute!;10
Very pleased and would stay there again.;8.0
Excellent place to spend a Birthday Weekend.;10
excellent location, friendly and nice stay;8.0
We had a great time!  great family vacation!!!;9.0
Excellent location and staff were very attentive.;8.0
Very good;8.0
Trendy hotel in a great location;10
Superb;9.0
Highly recommended;9.0
A perfect city stay location!;10
Great for business and  short or long term stays;10
great city break;10
fantastic hotel in a great location;10
Exceptional;10
Exceptional;10
Exceptional;10
amazing;10
Had a great deal. fabulous value for money. exceptional standard;10
would stay here again - definitely;8.0
Exceptional;10
Exceptional;10
good location, a little hidden hard to find at first. breakfast wasn’t that good.;8.0
Very Enjoyable;8.0
A wonderful vacation;10
Summer couple city trip;9.0
Most convenient and enjoyable;10
fantastic;10
Fantasic stay in good location;9.0
perfect weekend in perfect hotel;10
Exceptional;10
Very clean and comfortable room. Good location. Friendly and helpful staff. Would rebook.;8.0
exciting;9.0
A nice stay;9.0
Great staff, Clean Rooms, Nice Choice!;8.0
Superb;9.0
Very enjoyable. I stay in London on a regular basis, so will come again to Apex Fleet Street.;9.0
we will stay again;8.0
Amazing hotel;9.0
Very good;8.0
warm and welcoming;10
we were looking for a hotel central the both the west end and the city. This was perfect and also a truly comfortable ho;9.0
Central location. Clean modern hotel.;8.0
Very nice hotel;9.0
Exceptional;10
Good location with modern rooms and a neat over-the-city balcony view;8.0
Great Hotel in beautiful surroundings right in Central London!;9.0
Lovely hotel great location;8.0
Exceptional;10
The hotel is in very walkable location between Covent Garden and Old London Town.;10
reception staff are lovely and efficient. bedrooms are very comfortable and provide what every traveller needs. we will;8.0
We love staying at the Apex Hotel!;10
Wonderful Stay in London at the Apex Temple Court Hotel!;10
Superb;9.0
The friendliest most welcoming and comfortable hotel I think I have ever stayed in.;9.0
my new goto central London hotel;9.0
Very good;8.0
Exceptional;10
Very comfortable hotel, excellent breakfast, superb staff.;8.0
Beautifully appointed hotel in convenient location;9.0
Very nice and comfortable hotel where the staff are friendly and helpful.;9.0
Great hotel in downtown London;9.0
Superb;9.0
Superb;9.0
it ticked more boxes, than on my form!!;10
Nice location and large rooms;8.0
Value for money;9.0
Luxury hotel;9.0
Great location and reasonably priced, clean modern hotel.;8.0
brilliant!!!  we thoroughly enjoyed our stay and were glad to return  after a few years away. we would like to mention a;9.0
Great price to value;9.0
really relaxing;10
Stay here!;10
Tidy classy hotel;8.0
Great place to stay in central London;10
Comfortable hotel in quiet location;8.0
will def stay again;8.0
Loved the place it was a nice experience and will book there again;10
Comfortable and easily accessible;9.0
Absolutely fabulous and exceeded our expectations;10
Superb;9.0
Superb;9.0
Exceptional;10
Exceptional;10
Exceptional;10
If Apex means the top then this hotel is well named.;
;
Enjoyed our visit and the hotel’s location was great.;8.0
Exceptional;10
Thoroughly enjoyed my stay;9.0
I appreciated the hotel and all it offered!;9.0
loved the hotel when we got there;9.0
Really impressed and a very comfortable stay.;9.0
loved this hotel;10
Exceptional;10
excellent, helpful staff, clean,;10
Exceptional;10
Very good;8.0
Awesome;10
enjoyable and relaxing.;9.0
Our one night of luxury;9.0
Exceptional;10
One of the best hotels we have stayed in, great atmosphere too ??;10
A clean very comfortable hotel in excellent location;8.0
Exceptional;10
Convenient for London centre;8.0
Great for a short stay near West end.;10
We enjoyed are stay handy for most things;9.0
Excellent;10
best hotel stay in the uk;10
great value for money, perfect location for the theatre & an outstanding breakfast.;10
Exceptional;10
we will definitely rebook when in London next tome;9.0
Very happy;8.0
very enjoyable and comfortable stay.;8.0
A wonderful location , very clean, in the center of London. Tasty food plus nice and attentive staff;10
An unexpected gem as close to where I I needed to be as possible;10
Exceptional;10
Excellent location but some issues.;8.0
A beautiful stay for a night at the theatre.;9.0
excellent short break;8.0
Very good;8.0
Very enjoyable.;10
Short midweek break;10
Exceptional;10
Exceptional;10
Great, definitely will come back.;10
Exceptional;10
Exceptional;10
Exceptional;10
Comfy, clean, polite staff and centrally placed. Fabulous little find!;10
Great stay;9.0
very enjoyable stay in a great hotel.  reception and bar staff are great. we didn’t eat in the restaurant so can’t comme;10
fabulous affordable luxury with amazing staff;9.0
Exceptional;10
Amazing;9.0
Exceptional;10
fabulous;10
Exceptional;10
A great hotel in a perfect location for exploring London.;10
great hotel easy access to west end;9.0
Nice place,good location,a bit pricey for what you got;8.0
The hotel itself was great, however the staff made the stay special;10
Perfect for a walk to the west end or over the river to visit the Tate or Borough market.;10
Superb;9.0
excellent hotel in fantastic area will recommend;10
Superb;9.0
Our stay in the hotel made our weekend in London a fantastic experience.;9.0
Amazing weekend trip and the hotel was in a great location with wonderful staff;10
Immense;10
everything was perfect from booking in to checking out.;10
Would recommend;10
Brilliantly clean … lovely staff… a little gem;9.0
Absolutely loved it, definitely going to return.;10
A great hotel in a great location;8.0
Brilliant and relaxing and staff are fantastic;10
Apex as a London brand is my trustworthy home;10
Fantastic 10/10;10
Great hotel and the best bed I've ever slept on!!!;10
Great location, exceeded expectations;9.0
Exceptional;10
Very nice;8.0
wonderful;9.0
Very good;8.0
Thank you Apex Temple Court, we will be back!;10
Theatre trip;9.0
Very good;8.0
fantastic way to spend 50th birthday weekend;10
Highly recommend at a decent price in a good location;8.0
Superb;9.0
Exceptional;10
Would stay again.. Good value for money.;9.0
Would definitely use this hotel next time we are in the city;9.0
Superb;9.0
Fantastic hotel and friendly staff, will definitely stay again.;10
Very good;8.0
Will definitely return if required to work locally.;10
great hotel lovely rooms;10
Great stay;9.0
Superb;9.0
Excellent!;10
Superb;9.0
it was a surprise weekend away  which went very well.;9.0
Exceptional;10
amazing views! superb superior suite and service!;9.0
Exceptional;10
Great location;8.0
Excellent facilities in the room. Really quiet. But only 10 minute walk from West End;10
would stay again;8.0
Exceptional;10
Superb;9.0
Professional staff and quality stay;9.0
very good location;9.0
Great experience all round;10
would highly recommend this hotel, although we got a great price through booking.com, I would still say it’s worth the m;9.0
we thoroughly enjoyed our stay at the Apex so much that it will be our first choice hotel for future trips to London;10
overnight stay for evening at the theatre;9.0
Very relaxing and would definitely come again;10
